id,name,price,availableQuantity
SHOE_001,Classic Running Shoes - Black,89.99,150
SHOE_002,Classic Running Shoes - White,89.99,140
SHOE_003,Classic Running Shoes - Blue,89.99,130
SHOE_004,Athletic Sneakers - Red,79.99,160
SHOE_005,Athletic Sneakers - Grey,79.99,155
SHOE_006,High-Top Basketball Shoes - Black,119.99,95
SHOE_007,High-Top Basketball Shoes - White,119.99,85
SHOE_008,Casual Canvas Shoes - Khaki,59.99,200
SHOE_009,Casual Canvas Shoes - Navy,59.99,195
SHOE_010,Slip-On Loafers - Brown,99.99,75
SHOE_011,Slip-On Loafers - Black,99.99,80
SHOE_012,Outdoor Hiking Boots - Brown,149.99,60
SHOE_013,Outdoor Hiking Boots - Grey,149.99,55
SHOE_014,Lightweight Walking Shoes - Black,69.99,180
SHOE_015,Lightweight Walking Shoes - Navy,69.99,175
TSHIRT_001,Classic White T-Shirt - S,24.99,300
TSHIRT_002,Classic White T-Shirt - M,24.99,350
TSHIRT_003,Classic White T-Shirt - L,24.99,320
TSHIRT_004,Classic White T-Shirt - XL,24.99,250
TSHIRT_005,Classic White T-Shirt - XXL,24.99,180
TSHIRT_006,Black Crew Neck T-Shirt - S,24.99,280
TSHIRT_007,Black Crew Neck T-Shirt - M,24.99,330
TSHIRT_008,Black Crew Neck T-Shirt - L,24.99,310
TSHIRT_009,Black Crew Neck T-Shirt - XL,24.99,240
TSHIRT_010,Black Crew Neck T-Shirt - XXL,24.99,160
TSHIRT_011,Graphic Logo T-Shirt - S,34.99,200
TSHIRT_012,Graphic Logo T-Shirt - M,34.99,240
TSHIRT_013,Graphic Logo T-Shirt - L,34.99,220
TSHIRT_014,Graphic Logo T-Shirt - XL,34.99,170
TSHIRT_015,Graphic Logo T-Shirt - XXL,34.99,120
SHIRT_001,Oxford Button-Up Shirt - Blue,59.99,100
SHIRT_002,Oxford Button-Up Shirt - White,59.99,120
SHIRT_003,Oxford Button-Up Shirt - Khaki,59.99,90
SHIRT_004,Casual Linen Shirt - Beige,49.99,110
SHIRT_005,Casual Linen Shirt - Light Blue,49.99,105
SHIRT_006,Flannel Plaid Shirt - Red,54.99,80
SHIRT_007,Flannel Plaid Shirt - Green,54.99,75
SHIRT_008,Polo Shirt - Navy,44.99,130
SHIRT_009,Polo Shirt - White,44.99,140
SHIRT_010,Polo Shirt - Black,44.99,120
JEANS_001,Classic Blue Denim Jeans - 30,89.99,200
JEANS_002,Classic Blue Denim Jeans - 32,89.99,210
JEANS_003,Classic Blue Denim Jeans - 34,89.99,190
JEANS_004,Classic Blue Denim Jeans - 36,89.99,160
JEANS_005,Black Slim Fit Jeans - 30,94.99,150
